date,d_entries,d_exits,station,line
2015-01-01,5881.0,5543.0,110 ST,6
2015-01-02,9714.0,8037.0,110 ST,6
2015-01-03,7063.0,6007.0,110 ST,6
2015-01-04,5705.0,5248.0,110 ST,6
2015-01-05,12307.0,9612.0,110 ST,6
2015-01-06,12327.0,9879.0,110 ST,6
2015-01-07,12228.0,9427.0,110 ST,6
2015-01-08,11843.0,9169.0,110 ST,6
2015-01-09,12618.0,9414.0,110 ST,6
2015-01-10,7479.0,6397.0,110 ST,6
2015-01-11,5429.0,5070.0,110 ST,6
2015-01-12,11912.0,9210.0,110 ST,6
2015-01-13,12478.0,9563.0,110 ST,6
2015-01-14,12478.0,9784.0,110 ST,6
2015-01-15,12757.0,9606.0,110 ST,6
2015-01-16,12902.0,9968.0,110 ST,6
2015-01-17,7351.0,6064.0,110 ST,6
2015-01-18,5085.0,4736.0,110 ST,6
2015-01-19,7907.0,6882.0,110 ST,6
2015-01-20,12421.0,9370.0,110 ST,6
2015-01-21,12582.0,9808.0,110 ST,6
2015-01-22,12753.0,9928.0,110 ST,6
2015-01-23,13186.0,9835.0,110 ST,6
2015-01-24,7316.0,5890.0,110 ST,6
2015-01-25,5778.0,5203.0,110 ST,6
2015-01-26,11009.0,8720.0,110 ST,6
2015-01-27,3604.0,3183.0,110 ST,6
2015-01-28,12451.0,9558.0,110 ST,6
2015-01-29,12766.0,9706.0,110 ST,6
2015-01-30,12832.0,9896.0,110 ST,6
2015-01-31,8246.0,7278.0,110 ST,6
2015-02-01,6186.0,5873.0,110 ST,6
2015-02-02,11013.0,8458.0,110 ST,6
2015-02-03,12730.0,9900.0,110 ST,6
2015-02-04,13191.0,9737.0,110 ST,6
2015-02-05,13201.0,9953.0,110 ST,6
2015-02-06,13338.0,9757.0,110 ST,6
2015-02-07,8629.0,6688.0,110 ST,6
2015-02-08,6350.0,5717.0,110 ST,6
2015-02-09,12433.0,9401.0,110 ST,6
2015-02-10,12971.0,9626.0,110 ST,6
2015-02-11,13382.0,10180.0,110 ST,6
2015-02-12,13047.0,9659.0,110 ST,6
2015-02-13,13067.0,9866.0,110 ST,6
2015-02-14,8114.0,6889.0,110 ST,6
2015-02-15,5469.0,5231.0,110 ST,6
2015-02-16,6932.0,5997.0,110 ST,6
2015-02-17,10614.0,8391.0,110 ST,6
2015-02-18,11313.0,8931.0,110 ST,6
2015-02-19,11299.0,8781.0,110 ST,6
2015-02-20,10499.0,8411.0,110 ST,6
2015-02-21,7482.0,6528.0,110 ST,6
2015-02-22,5955.0,5531.0,110 ST,6
2015-02-23,12593.0,9581.0,110 ST,6
2015-02-24,12285.0,9059.0,110 ST,6
2015-02-25,13024.0,9854.0,110 ST,6
2015-02-26,13065.0,9870.0,110 ST,6
2015-02-27,13307.0,10044.0,110 ST,6
2015-02-28,8197.0,7042.0,110 ST,6
2015-03-01,5798.0,5633.0,110 ST,6
2015-03-02,12435.0,9225.0,110 ST,6
2015-03-03,12966.0,9886.0,110 ST,6
2015-03-04,12705.0,9744.0,110 ST,6
2015-03-05,12106.0,9252.0,110 ST,6
2015-03-06,13421.0,10019.0,110 ST,6
2015-03-07,8339.0,6949.0,110 ST,6
2015-03-08,5472.0,4639.0,110 ST,6
2015-03-09,12603.0,9298.0,110 ST,6
2015-03-10,12755.0,9043.0,110 ST,6
2015-03-11,12552.0,8913.0,110 ST,6
2015-03-12,12987.0,9216.0,110 ST,6
2015-03-13,12504.0,9428.0,110 ST,6
2015-03-14,7946.0,6680.0,110 ST,6
2015-03-15,6396.0,5544.0,110 ST,6
2015-03-16,12433.0,9180.0,110 ST,6
2015-03-17,13274.0,9983.0,110 ST,6
2015-03-18,13237.0,10225.0,110 ST,6
2015-03-19,13189.0,10068.0,110 ST,6
2015-03-20,12914.0,10005.0,110 ST,6
2015-03-21,6779.0,4671.0,110 ST,6
2015-03-22,5082.0,3391.0,110 ST,6
2015-03-23,12026.0,8794.0,110 ST,6
2015-03-24,12902.0,10210.0,110 ST,6
2015-03-25,13290.0,10143.0,110 ST,6
2015-03-26,13013.0,9892.0,110 ST,6
2015-03-27,13135.0,10369.0,110 ST,6
2015-03-28,7085.0,4980.0,110 ST,6
2015-03-29,5060.0,3456.0,110 ST,6
2015-03-30,12058.0,8655.0,110 ST,6
2015-03-31,12805.0,9845.0,110 ST,6
2015-04-01,13245.0,9994.0,110 ST,6
2015-04-02,12927.0,10002.0,110 ST,6
2015-04-03,10719.0,8628.0,110 ST,6
2015-04-04,6030.0,5205.0,110 ST,6
2015-04-05,4329.0,4176.0,110 ST,6
2015-04-06,10280.0,7861.0,110 ST,6
2015-04-07,11087.0,8501.0,110 ST,6
2015-04-08,11123.0,8626.0,110 ST,6
2015-04-09,11448.0,9013.0,110 ST,6
2015-04-10,11266.0,8979.0,110 ST,6
2015-04-11,8334.0,7103.0,110 ST,6
2015-04-12,6551.0,5975.0,110 ST,6
2015-04-13,12726.0,9376.0,110 ST,6
2015-04-14,12917.0,9806.0,110 ST,6
2015-04-15,13176.0,9854.0,110 ST,6
2015-04-16,13262.0,10069.0,110 ST,6
2015-04-17,13137.0,9955.0,110 ST,6
2015-04-18,6419.0,5665.0,110 ST,6
2015-04-19,4484.0,4061.0,110 ST,6
2015-04-20,11725.0,8397.0,110 ST,6
2015-04-21,13059.0,9725.0,110 ST,6
2015-04-22,13375.0,10032.0,110 ST,6
2015-04-23,13262.0,10293.0,110 ST,6
2015-04-24,10236.0,6870.0,110 ST,6
2015-04-25,9658.0,7667.0,110 ST,6
2015-04-26,4805.0,3189.0,110 ST,6
2015-04-27,11983.0,8482.0,110 ST,6
2015-04-28,12960.0,9801.0,110 ST,6
2015-04-29,13133.0,9811.0,110 ST,6
2015-04-30,12946.0,9750.0,110 ST,6
2015-05-01,13156.0,10060.0,110 ST,6
2015-05-02,6117.0,5398.0,110 ST,6
2015-05-03,4621.0,4201.0,110 ST,6
2015-05-04,13859.0,10511.0,110 ST,6
2015-05-05,15046.0,11381.0,110 ST,6
2015-05-06,15734.0,11592.0,110 ST,6
2015-05-07,15778.0,11684.0,110 ST,6
2015-05-08,15898.0,11993.0,110 ST,6
2015-05-09,9416.0,7790.0,110 ST,6
2015-05-10,7325.0,6524.0,110 ST,6
2015-05-11,14855.0,10760.0,110 ST,6
2015-05-12,15495.0,11365.0,110 ST,6
2015-05-13,16023.0,11676.0,110 ST,6
2015-05-14,16015.0,12015.0,110 ST,6
2015-05-15,16040.0,11921.0,110 ST,6
2015-05-16,9705.0,8082.0,110 ST,6
