date,d_entries,d_exits,station,line
2016-12-31,3.0,1.0,72 ST-2 AVE,Q
2017-01-01,9880.0,8660.0,72 ST-2 AVE,Q
2017-01-02,11024.0,9557.0,72 ST-2 AVE,Q
2017-01-03,18272.0,14031.0,72 ST-2 AVE,Q
2017-01-04,21159.0,15831.0,72 ST-2 AVE,Q
2017-01-05,21578.0,16983.0,72 ST-2 AVE,Q
2017-01-06,21905.0,17622.0,72 ST-2 AVE,Q
2017-01-07,13428.0,11792.0,72 ST-2 AVE,Q
2017-01-08,9550.0,8520.0,72 ST-2 AVE,Q
2017-01-09,20839.0,16095.0,72 ST-2 AVE,Q
2017-01-10,23794.0,20039.0,72 ST-2 AVE,Q
2017-01-11,24023.0,20546.0,72 ST-2 AVE,Q
2017-01-12,24608.0,21307.0,72 ST-2 AVE,Q
2017-01-13,25169.0,20039.0,72 ST-2 AVE,Q
2017-01-14,14452.0,12016.0,72 ST-2 AVE,Q
2017-01-15,12048.0,10027.0,72 ST-2 AVE,Q
2017-01-16,15372.0,13777.0,72 ST-2 AVE,Q
2017-01-17,24344.0,20120.0,72 ST-2 AVE,Q
2017-01-18,24869.0,20437.0,72 ST-2 AVE,Q
2017-01-19,26143.0,21117.0,72 ST-2 AVE,Q
2017-01-20,25127.0,21592.0,72 ST-2 AVE,Q
2017-01-21,16574.0,14095.0,72 ST-2 AVE,Q
2017-01-22,11942.0,11162.0,72 ST-2 AVE,Q
2017-01-23,23107.0,21425.0,72 ST-2 AVE,Q
2017-01-24,25625.0,22743.0,72 ST-2 AVE,Q
2017-01-25,26567.0,23715.0,72 ST-2 AVE,Q
2017-01-26,26191.0,23554.0,72 ST-2 AVE,Q
2017-01-27,26136.0,23231.0,72 ST-2 AVE,Q
2017-01-28,16805.0,14743.0,72 ST-2 AVE,Q
2017-01-29,12808.0,12443.0,72 ST-2 AVE,Q
2017-01-30,24529.0,22773.0,72 ST-2 AVE,Q
2017-01-31,26642.0,23955.0,72 ST-2 AVE,Q
2017-02-01,26913.0,24327.0,72 ST-2 AVE,Q
2017-02-02,27439.0,24164.0,72 ST-2 AVE,Q
2017-02-03,27265.0,23945.0,72 ST-2 AVE,Q
2017-02-04,15846.0,13893.0,72 ST-2 AVE,Q
2017-02-05,11986.0,11505.0,72 ST-2 AVE,Q
2017-02-06,25238.0,22963.0,72 ST-2 AVE,Q
2017-02-07,27447.0,24202.0,72 ST-2 AVE,Q
2017-02-08,27186.0,24313.0,72 ST-2 AVE,Q
2017-02-09,20094.0,18146.0,72 ST-2 AVE,Q
2017-02-10,27306.0,23699.0,72 ST-2 AVE,Q
2017-02-11,17015.0,15202.0,72 ST-2 AVE,Q
2017-02-12,11672.0,11171.0,72 ST-2 AVE,Q
2017-02-13,25154.0,23072.0,72 ST-2 AVE,Q
2017-02-14,27790.0,24710.0,72 ST-2 AVE,Q
2017-02-15,27721.0,24637.0,72 ST-2 AVE,Q
2017-02-16,27921.0,24690.0,72 ST-2 AVE,Q
2017-02-17,27113.0,23934.0,72 ST-2 AVE,Q
2017-02-18,14781.0,11847.0,72 ST-2 AVE,Q
2017-02-19,11976.0,10402.0,72 ST-2 AVE,Q
2017-02-20,14143.0,13235.0,72 ST-2 AVE,Q
2017-02-21,24750.0,22230.0,72 ST-2 AVE,Q
2017-02-22,26605.0,23799.0,72 ST-2 AVE,Q
2017-02-24,25997.0,22072.0,72 ST-2 AVE,Q
2017-02-25,15470.0,12944.0,72 ST-2 AVE,Q
2017-02-26,12152.0,11452.0,72 ST-2 AVE,Q
2017-02-27,25310.0,23015.0,72 ST-2 AVE,Q
2017-02-28,27543.0,24849.0,72 ST-2 AVE,Q
2017-03-01,26349.0,23138.0,72 ST-2 AVE,Q
2017-03-02,27900.0,22965.0,72 ST-2 AVE,Q
2017-03-03,27952.0,24180.0,72 ST-2 AVE,Q
2017-03-04,15851.0,13633.0,72 ST-2 AVE,Q
2017-03-05,11775.0,11385.0,72 ST-2 AVE,Q
