date,d_entries,d_exits,station,line
2015-01-01,15109.0,14597.0,77 ST,6
2015-01-02,27183.0,26505.0,77 ST,6
2015-01-03,19250.0,19235.0,77 ST,6
2015-01-04,15060.0,14926.0,77 ST,6
2015-01-05,34694.0,32845.0,77 ST,6
2015-01-06,38177.0,35498.0,77 ST,6
2015-01-07,37401.0,34744.0,77 ST,6
2015-01-08,36851.0,34522.0,77 ST,6
2015-01-09,37868.0,33436.0,77 ST,6
2015-01-10,19472.0,20405.0,77 ST,6
2015-01-11,14653.0,14985.0,77 ST,6
2015-01-12,34885.0,33245.0,77 ST,6
2015-01-13,37572.0,34767.0,77 ST,6
2015-01-14,37616.0,34995.0,77 ST,6
2015-01-15,37767.0,35590.0,77 ST,6
2015-01-16,37071.0,35095.0,77 ST,6
2015-01-17,19358.0,17499.0,77 ST,6
2015-01-18,13670.0,13403.0,77 ST,6
2015-01-19,23326.0,22429.0,77 ST,6
2015-01-20,36354.0,33592.0,77 ST,6
2015-01-21,37956.0,35289.0,77 ST,6
2015-01-22,37451.0,34646.0,77 ST,6
2015-01-23,37097.0,34542.0,77 ST,6
2015-01-24,19003.0,18045.0,77 ST,6
2015-01-25,15602.0,14887.0,77 ST,6
2015-01-26,33267.0,32421.0,77 ST,6
2015-01-27,9972.0,10216.0,77 ST,6
2015-01-28,36477.0,33028.0,77 ST,6
2015-01-29,37223.0,36221.0,77 ST,6
2015-01-30,37667.0,34891.0,77 ST,6
2015-01-31,20565.0,21001.0,77 ST,6
2015-02-01,15408.0,16689.0,77 ST,6
2015-02-02,33948.0,30828.0,77 ST,6
2015-02-03,36990.0,34223.0,77 ST,6
2015-02-04,39199.0,36380.0,77 ST,6
2015-02-05,38535.0,35774.0,77 ST,6
2015-02-06,37923.0,34511.0,77 ST,6
2015-02-07,19686.0,17726.0,77 ST,6
2015-02-08,15111.0,13735.0,77 ST,6
2015-02-09,34252.0,30931.0,77 ST,6
2015-02-10,37410.0,33566.0,77 ST,6
2015-02-11,38121.0,34828.0,77 ST,6
2015-02-12,37686.0,34033.0,77 ST,6
2015-02-13,36158.0,34504.0,77 ST,6
2015-02-14,19541.0,20911.0,77 ST,6
2015-02-15,15079.0,15269.0,77 ST,6
2015-02-16,19963.0,21172.0,77 ST,6
2015-02-17,33444.0,31302.0,77 ST,6
2015-02-18,36267.0,33768.0,77 ST,6
2015-02-19,36470.0,34112.0,77 ST,6
2015-02-20,34055.0,32514.0,77 ST,6
2015-02-21,19337.0,19656.0,77 ST,6
2015-02-22,15308.0,15792.0,77 ST,6
2015-02-23,34950.0,32193.0,77 ST,6
2015-02-24,36592.0,33129.0,77 ST,6
2015-02-25,37315.0,34651.0,77 ST,6
2015-02-26,37303.0,36989.0,77 ST,6
2015-02-27,37362.0,35040.0,77 ST,6
2015-02-28,21122.0,20998.0,77 ST,6
2015-03-01,15621.0,15894.0,77 ST,6
2015-03-02,33452.0,29306.0,77 ST,6
2015-03-03,38384.0,35951.0,77 ST,6
2015-03-04,37896.0,35535.0,77 ST,6
2015-03-05,36686.0,34224.0,77 ST,6
2015-03-06,37495.0,35376.0,77 ST,6
2015-03-07,20886.0,18970.0,77 ST,6
2015-03-08,16256.0,15234.0,77 ST,6
2015-03-09,36143.0,33705.0,77 ST,6
2015-03-10,37687.0,36213.0,77 ST,6
2015-03-11,36050.0,33793.0,77 ST,6
2015-03-12,36907.0,35015.0,77 ST,6
2015-03-13,35933.0,33614.0,77 ST,6
2015-03-14,19608.0,17852.0,77 ST,6
2015-03-15,15872.0,14648.0,77 ST,6
2015-03-16,34212.0,31880.0,77 ST,6
2015-03-17,40215.0,35714.0,77 ST,6
2015-03-18,37643.0,34462.0,77 ST,6
2015-03-19,37310.0,34226.0,77 ST,6
2015-03-20,36038.0,34781.0,77 ST,6
2015-03-21,16719.0,6320.0,77 ST,6
2015-03-22,11573.0,3709.0,77 ST,6
2015-03-23,33541.0,31254.0,77 ST,6
2015-03-24,36204.0,33610.0,77 ST,6
2015-03-25,36799.0,34277.0,77 ST,6
2015-03-26,36867.0,34126.0,77 ST,6
2015-03-27,36537.0,34381.0,77 ST,6
2015-03-28,17194.0,6718.0,77 ST,6
2015-03-29,13101.0,4043.0,77 ST,6
2015-03-30,35426.0,32853.0,77 ST,6
2015-03-31,39275.0,36144.0,77 ST,6
2015-04-01,38456.0,35771.0,77 ST,6
2015-04-02,38062.0,35230.0,77 ST,6
2015-04-03,31391.0,30065.0,77 ST,6
2015-04-04,7778.0,13007.0,77 ST,6
2015-04-05,4547.0,9767.0,77 ST,6
2015-04-06,31137.0,30533.0,77 ST,6
2015-04-07,35673.0,33572.0,77 ST,6
2015-04-08,36243.0,33529.0,77 ST,6
2015-04-09,36583.0,34273.0,77 ST,6
2015-04-10,35487.0,32495.0,77 ST,6
2015-04-11,19992.0,18410.0,77 ST,6
2015-04-12,15025.0,14242.0,77 ST,6
2015-04-13,34112.0,31908.0,77 ST,6
2015-04-14,37467.0,33700.0,77 ST,6
2015-04-15,35698.0,35363.0,77 ST,6
2015-04-16,37880.0,34482.0,77 ST,6
2015-04-17,36796.0,33507.0,77 ST,6
2015-04-18,7622.0,13869.0,77 ST,6
2015-04-19,4536.0,10789.0,77 ST,6
2015-04-20,34503.0,32827.0,77 ST,6
2015-04-21,37627.0,34702.0,77 ST,6
2015-04-22,38679.0,35695.0,77 ST,6
2015-04-23,39205.0,36287.0,77 ST,6
2015-04-24,38653.0,37321.0,77 ST,6
2015-04-25,17853.0,7666.0,77 ST,6
2015-04-26,11122.0,3494.0,77 ST,6
2015-04-27,34891.0,32005.0,77 ST,6
2015-04-28,38369.0,35380.0,77 ST,6
2015-04-29,38499.0,33942.0,77 ST,6
2015-04-30,38850.0,34829.0,77 ST,6
2015-05-01,37654.0,33592.0,77 ST,6
2015-05-02,7843.0,12910.0,77 ST,6
2015-05-03,4658.0,10935.0,77 ST,6
2015-05-04,34648.0,33598.0,77 ST,6
2015-05-05,39060.0,35446.0,77 ST,6
2015-05-06,39205.0,36092.0,77 ST,6
2015-05-07,39006.0,35660.0,77 ST,6
2015-05-08,37707.0,34447.0,77 ST,6
2015-05-09,19851.0,18108.0,77 ST,6
2015-05-10,14555.0,14051.0,77 ST,6
2015-05-11,35524.0,33820.0,77 ST,6
2015-05-12,38546.0,35307.0,77 ST,6
2015-05-13,39734.0,36537.0,77 ST,6
2015-05-14,39362.0,35911.0,77 ST,6
2015-05-15,38621.0,35147.0,77 ST,6
2015-05-16,20767.0,18448.0,77 ST,6
2015-05-17,16067.0,15107.0,77 ST,6
2015-05-18,36728.0,34930.0,77 ST,6
2015-05-19,39766.0,36170.0,77 ST,6
2015-05-20,39463.0,35170.0,77 ST,6
2015-05-21,39068.0,35500.0,77 ST,6
2015-05-22,36132.0,31836.0,77 ST,6
2015-05-23,18363.0,17983.0,77 ST,6
2015-05-24,14989.0,15439.0,77 ST,6
2015-05-25,14253.0,15616.0,77 ST,6
2015-05-26,36809.0,34325.0,77 ST,6
2015-05-27,39786.0,36532.0,77 ST,6
2015-05-28,39660.0,36592.0,77 ST,6
2015-05-29,38700.0,35441.0,77 ST,6
2015-05-30,20498.0,16922.0,77 ST,6
2015-05-31,18525.0,14534.0,77 ST,6
2015-06-01,37443.0,35662.0,77 ST,6
2015-06-02,40471.0,37078.0,77 ST,6
2015-06-03,39978.0,36335.0,77 ST,6
2015-06-04,40063.0,36600.0,77 ST,6
2015-06-05,39699.0,35517.0,77 ST,6
2015-06-06,20386.0,18212.0,77 ST,6
2015-06-07,16071.0,15478.0,77 ST,6
2015-06-08,36640.0,33637.0,77 ST,6
2015-06-09,40553.0,35776.0,77 ST,6
2015-06-10,40594.0,36083.0,77 ST,6
2015-06-11,39557.0,35196.0,77 ST,6
2015-06-12,38036.0,33543.0,77 ST,6
2015-06-13,20127.0,17571.0,77 ST,6
2015-06-14,18065.0,16367.0,77 ST,6
2015-06-15,36180.0,34290.0,77 ST,6
2015-06-16,38918.0,34802.0,77 ST,6
2015-06-17,39783.0,38621.0,77 ST,6
2015-06-18,41973.0,36575.0,77 ST,6
2015-06-19,38135.0,34013.0,77 ST,6
2015-06-20,18166.0,19977.0,77 ST,6
2015-06-21,15176.0,16384.0,77 ST,6
2015-06-22,35628.0,34650.0,77 ST,6
2015-06-23,37844.0,34797.0,77 ST,6
2015-06-24,38742.0,35129.0,77 ST,6
2015-06-25,38728.0,35661.0,77 ST,6
2015-06-26,37235.0,34033.0,77 ST,6
2015-06-27,19740.0,18152.0,77 ST,6
2015-06-28,15156.0,14558.0,77 ST,6
2015-06-29,34222.0,32189.0,77 ST,6
2015-06-30,36797.0,33779.0,77 ST,6
2015-07-01,36311.0,33507.0,77 ST,6
2015-07-02,34775.0,32190.0,77 ST,6
2015-07-03,20843.0,18198.0,77 ST,6
2015-07-04,13810.0,11300.0,77 ST,6
2015-07-05,11994.0,13088.0,77 ST,6
2015-07-06,31681.0,30303.0,77 ST,6
2015-07-07,35613.0,32750.0,77 ST,6
2015-07-08,36882.0,33785.0,77 ST,6
2015-07-09,36833.0,33520.0,77 ST,6
2015-07-10,35449.0,32241.0,77 ST,6
2015-07-11,19439.0,16584.0,77 ST,6
2015-07-12,15267.0,13492.0,77 ST,6
2015-07-13,33544.0,31363.0,77 ST,6
2015-07-14,36980.0,33821.0,77 ST,6
2015-07-15,35883.0,34253.0,77 ST,6
2015-07-16,36812.0,31623.0,77 ST,6
2015-07-17,35332.0,31405.0,77 ST,6
2015-07-18,8122.0,13335.0,77 ST,6
2015-07-19,4482.0,10090.0,77 ST,6
