date,d_entries,d_exits,station,line
2016-12-31,15.0,321.0,96 ST-2 AVE,Q
2017-01-01,10181.0,8492.0,96 ST-2 AVE,Q
2017-01-02,9497.0,8738.0,96 ST-2 AVE,Q
2017-01-03,10818.0,9213.0,96 ST-2 AVE,Q
2017-01-04,12546.0,10529.0,96 ST-2 AVE,Q
2017-01-05,12168.0,9870.0,96 ST-2 AVE,Q
2017-01-06,12807.0,10692.0,96 ST-2 AVE,Q
2017-01-07,8337.0,7334.0,96 ST-2 AVE,Q
2017-01-08,6792.0,6261.0,96 ST-2 AVE,Q
2017-01-09,11890.0,9407.0,96 ST-2 AVE,Q
2017-01-10,12773.0,10581.0,96 ST-2 AVE,Q
2017-01-11,13435.0,11480.0,96 ST-2 AVE,Q
2017-01-12,13857.0,11552.0,96 ST-2 AVE,Q
2017-01-13,14207.0,11454.0,96 ST-2 AVE,Q
2017-01-14,9681.0,8566.0,96 ST-2 AVE,Q
2017-01-15,8426.0,7575.0,96 ST-2 AVE,Q
2017-01-16,9396.0,8593.0,96 ST-2 AVE,Q
2017-01-17,13189.0,11083.0,96 ST-2 AVE,Q
2017-01-18,13845.0,11963.0,96 ST-2 AVE,Q
2017-01-19,14725.0,12329.0,96 ST-2 AVE,Q
2017-01-20,14410.0,12007.0,96 ST-2 AVE,Q
2017-01-21,10536.0,9313.0,96 ST-2 AVE,Q
2017-01-22,8030.0,7904.0,96 ST-2 AVE,Q
2017-01-23,13079.0,11475.0,96 ST-2 AVE,Q
2017-01-24,13874.0,11825.0,96 ST-2 AVE,Q
2017-01-25,15187.0,13091.0,96 ST-2 AVE,Q
2017-01-26,15077.0,12709.0,96 ST-2 AVE,Q
2017-01-27,15169.0,12910.0,96 ST-2 AVE,Q
2017-01-28,11004.0,9571.0,96 ST-2 AVE,Q
2017-01-29,8927.0,8903.0,96 ST-2 AVE,Q
2017-01-30,13963.0,11971.0,96 ST-2 AVE,Q
2017-01-31,15045.0,12878.0,96 ST-2 AVE,Q
2017-02-01,15616.0,13153.0,96 ST-2 AVE,Q
2017-02-02,16065.0,13422.0,96 ST-2 AVE,Q
2017-02-03,15974.0,12948.0,96 ST-2 AVE,Q
2017-02-04,11051.0,9514.0,96 ST-2 AVE,Q
2017-02-05,9104.0,8745.0,96 ST-2 AVE,Q
2017-02-06,15236.0,12423.0,96 ST-2 AVE,Q
2017-02-07,15545.0,12918.0,96 ST-2 AVE,Q
2017-02-08,16148.0,12997.0,96 ST-2 AVE,Q
2017-02-09,10307.0,9626.0,96 ST-2 AVE,Q
2017-02-10,15502.0,11826.0,96 ST-2 AVE,Q
2017-02-11,11114.0,9402.0,96 ST-2 AVE,Q
2017-02-12,8038.0,7636.0,96 ST-2 AVE,Q
2017-02-13,15078.0,12246.0,96 ST-2 AVE,Q
2017-02-14,16210.0,12724.0,96 ST-2 AVE,Q
2017-02-15,16218.0,13387.0,96 ST-2 AVE,Q
2017-02-16,16146.0,13260.0,96 ST-2 AVE,Q
2017-02-17,16197.0,12606.0,96 ST-2 AVE,Q
2017-02-18,10152.0,8455.0,96 ST-2 AVE,Q
2017-02-19,8840.0,7688.0,96 ST-2 AVE,Q
2017-02-20,9489.0,8377.0,96 ST-2 AVE,Q
