date,d_entries,d_exits,station,line
2015-01-01,7398.0,4184.0,LEXINGTON AVE,NQR456
2015-01-02,13755.0,8050.0,LEXINGTON AVE,NQR456
2015-01-03,8138.0,3522.0,LEXINGTON AVE,NQR456
2015-01-04,5495.0,2569.0,LEXINGTON AVE,NQR456
2015-01-05,16799.0,10314.0,LEXINGTON AVE,NQR456
2015-01-06,16881.0,10390.0,LEXINGTON AVE,NQR456
2015-01-07,17048.0,10427.0,LEXINGTON AVE,NQR456
2015-01-08,16747.0,10433.0,LEXINGTON AVE,NQR456
2015-01-09,16788.0,10176.0,LEXINGTON AVE,NQR456
2015-01-10,7804.0,3596.0,LEXINGTON AVE,NQR456
2015-01-11,5561.0,2502.0,LEXINGTON AVE,NQR456
2015-01-12,16408.0,10137.0,LEXINGTON AVE,NQR456
2015-01-13,17373.0,10877.0,LEXINGTON AVE,NQR456
2015-01-14,17217.0,10346.0,LEXINGTON AVE,NQR456
2015-01-15,17651.0,10601.0,LEXINGTON AVE,NQR456
2015-01-16,17372.0,10681.0,LEXINGTON AVE,NQR456
2015-01-17,11563.0,6308.0,LEXINGTON AVE,NQR456
2015-01-18,8068.0,4501.0,LEXINGTON AVE,NQR456
2015-01-19,13045.0,9415.0,LEXINGTON AVE,NQR456
2015-01-20,17082.0,10567.0,LEXINGTON AVE,NQR456
2015-01-21,17005.0,10737.0,LEXINGTON AVE,NQR456
2015-01-22,17426.0,10514.0,LEXINGTON AVE,NQR456
2015-01-23,17334.0,10669.0,LEXINGTON AVE,NQR456
2015-01-24,10604.0,5807.0,LEXINGTON AVE,NQR456
2015-01-25,9527.0,5091.0,LEXINGTON AVE,NQR456
2015-01-26,15273.0,9694.0,LEXINGTON AVE,NQR456
2015-01-27,4892.0,2952.0,LEXINGTON AVE,NQR456
2015-01-28,17097.0,10412.0,LEXINGTON AVE,NQR456
2015-01-29,17622.0,10710.0,LEXINGTON AVE,NQR456
2015-01-30,17839.0,10744.0,LEXINGTON AVE,NQR456
2015-01-31,10444.0,6413.0,LEXINGTON AVE,NQR456
2015-02-01,8092.0,5173.0,LEXINGTON AVE,NQR456
2015-02-02,15196.0,9350.0,LEXINGTON AVE,NQR456
2015-02-03,16933.0,9867.0,LEXINGTON AVE,NQR456
2015-02-04,17869.0,10910.0,LEXINGTON AVE,NQR456
2015-02-05,17631.0,11020.0,LEXINGTON AVE,NQR456
2015-02-06,18058.0,10800.0,LEXINGTON AVE,NQR456
2015-02-07,10329.0,6714.0,LEXINGTON AVE,NQR456
2015-02-08,8000.0,5435.0,LEXINGTON AVE,NQR456
2015-02-09,16353.0,10128.0,LEXINGTON AVE,NQR456
2015-02-10,17777.0,10744.0,LEXINGTON AVE,NQR456
2015-02-11,17969.0,10799.0,LEXINGTON AVE,NQR456
2015-02-12,18087.0,10964.0,LEXINGTON AVE,NQR456
2015-02-13,17845.0,10599.0,LEXINGTON AVE,NQR456
2015-02-14,9874.0,5289.0,LEXINGTON AVE,NQR456
2015-02-15,7358.0,4179.0,LEXINGTON AVE,NQR456
2015-02-16,10570.0,6398.0,LEXINGTON AVE,NQR456
2015-02-17,16157.0,10064.0,LEXINGTON AVE,NQR456
2015-02-18,17255.0,10428.0,LEXINGTON AVE,NQR456
2015-02-19,16953.0,10269.0,LEXINGTON AVE,NQR456
2015-02-20,16456.0,10000.0,LEXINGTON AVE,NQR456
2015-02-21,9753.0,5622.0,LEXINGTON AVE,NQR456
2015-02-22,7602.0,4589.0,LEXINGTON AVE,NQR456
